amfi_code,cagr,sharpe_ratio,sortino_ratio,max_drawdown,alpha,beta,fund_house,scheme_name,category,sub_category,plan,launch_date,benchmark,expense_ratio_pct,exit_load_pct,min_sip_amount,min_lumpsum_amount,fund_manager,risk_category,sebi_category_code,cagr_rank,sharpe_rank,alpha_rank,drawdown_rank,fund_score
118632,0.2406797851896254,1.0816591793457038,1.850132546855726,-0.17414075086657232,0,0,Nippon India MF,Nippon India Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,2004-08-08,NIFTY 100 TRI,1.51,1.0,500,1000,Sailesh Raj Bhan,Moderate,EC01,0.75,0.825,0.5125,0.45,64.625
102885,0.1793430337634756,0.817099337349437,1.4357420130649492,-0.1085986215250232,0,0,UTI Mutual Fund,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Index,Regular,2000-03-06,NIFTY 50 TRI,1.57,0.0,500,1000,Sharwan Kumar Goyal,Moderate,EI01,0.575,0.625,0.5125,0.85,64.375
119094,0.283174871660953,0.9982309868636403,1.7037974802463003,-0.20960883862039192,0,0,Axis Mutual Fund,Axis Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,2011-02-18,NIFTY Midcap 50 TRI,1.38,1.0,500,1000,Jinesh Gopani,High,EC02,0.8,0.75,0.5125,0.325,61.125
148568,0.2207780749661905,0.9262873467360143,1.632740977873516,-0.1527259422823477,0,0,Mirae Asset MF,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Large & Mid Cap,Regular,2010-07-09,NIFTY Large Midcap 250 TRI,1.52,1.0,500,1000,Neelesh Surana,Moderately High,EC04,0.675,0.65,0.5125,0.55,60.5
120503,0.18670122424251634,0.7979728586052844,1.3379431500669237,-0.13897862823061635,0,0,ICICI Prudential MF,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,2008-05-23,NIFTY 100 TRI,1.42,1.0,500,1000,Anish Tawakley,Moderate,EC01,0.6,0.6,0.5125,0.675,60.125
119598,0.3286874012519587,0.9453082575156093,1.6753165700125519,-0.2870600572176455,0,0,SBI Mutual Fund,SBI Small Cap Fund - Regular Plan - Growth,Equity,Small Cap,Regular,2009-09-09,BSE 250 SmallCap TRI,1.43,1.0,500,1000,R. Srinivasan,Very High,EC03,0.975,0.675,0.5125,0.125,59.5
149324,0.32602809993681303,0.949795824661604,1.6197931764914093,-0.31171900300634214,0,0,DSP Mutual Fund,DSP Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,2007-06-14,BSE 250 SmallCap TRI,1.52,1.0,500,1000,Vinit Sambre,Very High,EC03,0.95,0.7,0.5125,0.1,58.75
125497,0.18989436922141856,0.7757902498211205,1.3306512447571364,-0.15200013055606398,0,0,HDFC Mutual Fund,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.92,1.0,500,1000,Rahul Baijal,Moderate,EC01,0.625,0.575,0.5125,0.575,57.75
118635,0.1621380764618423,0.664856998549062,1.137976718780742,-0.1165062450540909,0,0,Nippon India MF,Nippon India ETF Nifty 50 BeES,Equity,Index/ETF,Direct,2001-12-28,NIFTY 50 TRI,0.89,0.0,500,100,Vishal Jain,Moderate,EI01,0.45,0.55,0.5125,0.775,56.875
120507,0.07225366167906166,0.495723392953312,1.0521238822609291,-0.0009773140045925555,0,0,ICICI Prudential MF,ICICI Pru Liquid Fund - Regular - Growth,Debt,Liquid,Regular,2001-11-17,CRISIL Liquid Fund AI Index,0.74,0.0,500,5000,Rahul Goswami,Low,DC01,0.3,0.45,0.5125,1.0,55.5
149322,0.13614983408767278,0.46403744922047735,0.7621288703723166,-0.14844576917771746,0,0,DSP Mutual Fund,DSP Top 100 Equity Fund - Regular - Growth,Equity,Large Cap,Regular,2003-03-10,NIFTY 100 TRI,1.54,1.0,500,1000,Apoorva Shah,Moderate,EC01,0.425,0.4,0.5125,0.625,48.625
120506,0.17069920067711042,0.6488787755249528,1.0958951614736467,-0.1982565826298267,0,0,ICICI Prudential MF,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Value,Regular,2004-08-16,NIFTY 500 TRI,1.41,1.0,500,1000,Sankaran Naren,Moderately High,EC06,0.525,0.525,0.5125,0.35,47.875
120844,0.06908928179555218,-0.0887472962155729,-0.1877230477424223,-0.0011629327956168556,0,0,Kotak Mahindra MF,Kotak Liquid Fund - Regular - Growth,Debt,Liquid,Regular,2004-03-03,CRISIL Liquid Fund AI Index,0.6,0.0,500,5000,Deepak Agrawal,Low,DC01,0.275,0.175,0.5125,0.975,47.25
118633,0.16664557456811546,0.6452074382933218,1.154475716923624,-0.18629743138595511,0,0,Nippon India MF,Nippon India Large Cap Fund - Direct - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.72,1.0,500,1000,Sailesh Raj Bhan,Moderate,EC01,0.5,0.5,0.5125,0.375,47.125
102887,0.17119515841243627,0.6195175900829826,1.0887552508030016,-0.21539827112383225,0,0,UTI Mutual Fund,UTI Flexi Cap Fund - Regular - Growth,Equity,Flexi Cap,Regular,2005-05-18,NIFTY 500 TRI,1.64,1.0,500,1000,Ajay Tyagi,Moderately High,EC04,0.55,0.475,0.5125,0.275,45.5
120841,0.13439907124323103,0.4942725378672348,0.8625738849916581,-0.1757361416468729,0,0,Kotak Mahindra MF,Kotak Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,2005-12-29,NIFTY 100 TRI,1.59,1.0,500,1000,Harsha Upadhyaya,Moderate,EC01,0.4,0.425,0.5125,0.425,43.5
101208,0.06512021213455932,-0.8155673679088258,-1.681037866751281,-0.0016224980244717857,0,0,Aditya Birla Sun Life MF,ABSL Liquid Fund - Regular - Growth,Debt,Liquid,Regular,2000-04-17,CRISIL Liquid Fund AI Index,0.79,0.0,500,5000,Maneesh Dangi,Low,DC01,0.225,0.025,0.5125,0.95,41.375
119120,0.05825353223052332,-0.22657538662791568,-0.37676700817066683,-0.04328728923970093,0,0,SBI Mutual Fund,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Gilt,Regular,2000-12-30,CRISIL Dynamic Gilt Index,0.77,0.0,500,1000,Dinesh Ahuja,Low,DC02,0.175,0.1,0.5125,0.9,40.5
119092,0.06526820562107027,0.030784850954585923,0.05257398559304803,-0.1440161790933726,0,0,Axis Mutual Fund,Axis Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,2010-01-05,NIFTY 100 TRI,1.64,1.0,500,1000,Shreyash Devalkar,Moderate,EC01,0.25,0.25,0.5125,0.65,40.25
118634,0.16469727674318357,0.4484340089089915,0.7460146308533572,-0.2334488614483311,0,0,Nippon India MF,Nippon India Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,2010-09-16,BSE 250 SmallCap TRI,1.53,1.0,500,1000,Samir Rachh,Very High,EC03,0.475,0.375,0.5125,0.225,39.5
118636,0.05241823303255022,-0.35662950751436784,-0.6135251287271023,-0.08316361763638702,0,0,Nippon India MF,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Gilt,Regular,1999-08-19,CRISIL Dynamic Gilt Index,0.55,0.0,500,1000,Vivek Sharma,Low,DC02,0.15,0.075,0.5125,0.875,38.5
100025,0.045424567091022716,-0.5670947928476846,-0.9418212366054204,-0.04308263824636349,0,0,HDFC Mutual Fund,HDFC Short Term Debt Fund - Regular - Growth,Debt,Short Duration,Regular,2002-06-25,CRISIL Short Term Bond Index,0.56,0.5,500,1000,Anil Bamboli,Low,DC02,0.125,0.05,0.5125,0.925,38.375
125498,0.11428206636760763,0.3006119210425479,0.5088128197169232,-0.21117279560132118,0,0,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Mid Cap,Direct,2013-01-01,NIFTY Midcap 150 TRI,0.78,1.0,500,1000,Chirag Setalvad,High,EC02,0.375,0.35,0.5125,0.3,37.75
119093,0.07901622403199693,0.12961449795669325,0.22108683979276353,-0.21751396370148224,0,0,Axis Mutual Fund,Axis Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.75,1.0,500,1000,Shreyash Devalkar,Moderate,EC01,0.325,0.3,0.5125,0.25,33.75
101207,0.0820657572659449,0.16266076928646786,0.27664379626092334,-0.3544691649336603,0,0,Aditya Birla Sun Life MF,ABSL Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,2007-05-31,BSE 250 SmallCap TRI,1.53,1.0,500,1000,Mircea Ciobanu,Very High,EC03,0.35,0.325,0.5125,0.075,30.75
120842,0.06285288337821648,0.07599984804658923,0.12469346986475674,-0.24003511326274884,0,0,Kotak Mahindra MF,Kotak Emerging Equity Fund - Regular - Growth,Equity,Mid Cap,Regular,2007-03-30,NIFTY Midcap 150 TRI,1.56,1.0,500,1000,Pankaj Tibrewal,High,EC02,0.2,0.275,0.5125,0.2,28.125
100016,0.02878836168446064,-0.2015170675596694,-0.3510474601523089,-0.24734440880673303,0,0,HDFC Mutual Fund,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Large Cap,Regular,1996-09-11,NIFTY 100 TRI,1.55,1.0,500,1000,Rahul Baijal,Moderate,EC01,0.1,0.15,0.5125,0.175,21.375
119599,0.02493518558009522,-0.05718662582817995,-0.09438726129459606,-0.5257422117012851,0,0,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth,Equity,Small Cap,Direct,2013-01-01,BSE 250 SmallCap TRI,0.72,1.0,500,1000,R. Srinivasan,Very High,EC03,0.075,0.225,0.5125,0.025,18.75
119095,0.01093536197784628,-0.07597357117478923,-0.12818559275851926,-0.5167775370852656,0,0,Axis Mutual Fund,Axis Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,2013-11-29,BSE 250 SmallCap TRI,1.38,1.0,500,1000,Anupam Tiwari,Very High,EC03,0.05,0.2,0.5125,0.05,18.0
102886,0.009133051069225795,-0.2058316078547031,-0.34722230254727265,-0.2800112356639287,0,0,UTI Mutual Fund,UTI Mid Cap Fund - Regular - Growth,Equity,Mid Cap,Regular,2004-04-07,NIFTY Midcap 150 TRI,1.51,1.0,500,1000,V Srivatsa,High,EC02,0.025,0.125,0.5125,0.15,17.875
